model,downloads,likes,parameters
sentence-transformers/all-MiniLM-L6-v2,57795839,2109,22713728
sentence-transformers/all-MiniLM-L12-v2,24883889,162,33360512
sentence-transformers/all-mpnet-base-v2,21854815,752,109486978
sentence-transformers/bert-base-nli-mean-tokens,3364829,30,109482752
sentence-transformers/paraphrase-MiniLM-L6-v2,2932712,78,22713728
nomic-ai/nomic-embed-text-v1,2709967,420,136731648
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,2613846,109,22713728
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2569479,564,117654272
intfloat/e5-small-v2,2229629,74,33360512
intfloat/multilingual-e5-small,1836276,125,117654272
Alibaba-NLP/gte-large-en-v1.5,1460902,136,434139136
sentence-transformers/msmarco-bert-base-dot-v5,1309850,15,109482752
BAAI/bge-m3,1251809,1096,0
sentence-transformers/distiluse-base-multilingual-cased-v2,1166325,147,134734080
sentence-transformers/all-roberta-large-v1,938283,51,355360258
sentence-transformers/multi-qa-mpnet-base-dot-v1,775898,146,109486978
mpi-inno-comp/paecter,760968,6,0
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,745670,272,278044162
thenlper/gte-small,708837,118,33360512
thenlper/gte-large,687267,235,335142400
sentence-transformers/stsb-roberta-base,677023,1,124646146
sentence-transformers/paraphrase-MiniLM-L12-v2,672421,6,33360512
naufalihsan/indonesian-sbert-large,637805,3,0
sentence-transformers/distilbert-base-nli-stsb-mean-tokens,622694,11,66362880
intfloat/e5-large-v2,612013,204,335142400
sentence-transformers/all-mpnet-base-v1,605663,7,109486978
sentence-transformers/paraphrase-mpnet-base-v2,550551,33,109486978
sentence-transformers/xlm-r-distilroberta-base-paraphrase-v1,538089,1,278044162
sentence-transformers/sentence-t5-xl,511400,6,1240909824
intfloat/e5-base-v2,490809,90,109482752
kuelumbus/polyBERT,465958,3,0
nomic-ai/nomic-embed-text-v1.5,456124,294,136731648
intfloat/multilingual-e5-base,449744,206,278044162
Snowflake/snowflake-arctic-embed-m,411771,113,108891648
sentence-transformers/msmarco-distilbert-base-v4,372830,5,66362880
sentence-transformers/distiluse-base-multilingual-cased-v1,358518,96,134734080
sentence-transformers/all-distilroberta-v1,357875,28,82118914
jhgan/ko-sroberta-multitask,337927,72,0
sentence-transformers/multi-qa-distilbert-cos-v1,334584,20,66362880
McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp,323540,4,0
sentence-transformers/multi-qa-mpnet-base-cos-v1,272542,29,109486978
sentence-transformers/paraphrase-MiniLM-L3-v2,271825,21,17390336
shibing624/text2vec-base-multilingual,251193,44,117654272
avsolatorio/GIST-Embedding-v0,235185,16,109482240
hkunlp/instructor-large,220466,475,0
shibing624/text2vec-base-chinese,190801,609,102268160
basel/ATTACK-BERT,189317,5,0
obh07/multilingual-e5-base-dolly-15k,184503,0,278043648
thenlper/gte-base,184197,98,109482752
sentence-transformers/LaBSE,176804,199,0
sentence-transformers/nli-mpnet-base-v2,167564,13,109486978
sentence-transformers/stsb-xlm-r-multilingual,151755,31,278044162
cointegrated/rubert-tiny2,150024,87,29378550
sentence-transformers-testing/stsb-bert-tiny-safetensors,147809,0,4385920
sentence-transformers/msmarco-distilbert-base-tas-b,142499,35,66362880
sentence-transformers/paraphrase-albert-small-v2,131915,6,11684096
sentence-transformers/gtr-t5-large,131401,32,334939648
hiiamsid/sentence_similarity_spanish_es,130008,42,109851392
dangvantuan/sentence-camembert-large,129786,68,336662018
